date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:00	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226892628f-239b%22	https://themewagon.github.io/robots.txt		(from )
15:49:00	25268/25268	---M-Z	200	added ('OK')	text/html	etag:W/%2268aea36e-62b4%22	https://themewagon.github.io/perfectcut/	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/index.html	(from )
15:49:01	140421/140421	---M-Z	200	added ('OK')	text/css	etag:W/%2268aea36e-22485%22	https://themewagon.github.io/perfectcut/css/bootstrap.min.css	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/css/bootstrap.min.css	(from https://themewagon.github.io/perfectcut/)
15:49:01	19148/19148	---M-Z	200	added ('OK')	text/css	etag:W/%2268aea36e-4acc%22	https://themewagon.github.io/perfectcut/css/style.css	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/css/style.css	(from https://themewagon.github.io/perfectcut/)
15:49:02	14186/14186	---M-Z	200	added ('OK')	text/css	etag:W/%2268aea36e-376a%22	https://themewagon.github.io/perfectcut/css/responsive.css	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/css/responsive.css	(from https://themewagon.github.io/perfectcut/)
15:49:02	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/perfectcut/images/fevicon.png	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/images/fevicon.png	(from https://themewagon.github.io/perfectcut/)
15:49:02	42839/42839	---M-Z	200	added ('OK')	text/css	etag:W/%2268aea36e-a757%22	https://themewagon.github.io/perfectcut/css/jquery.mCustomScrollbar.min.css	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/css/jquery.mCustomScrollbar.min.css	(from https://themewagon.github.io/perfectcut/)
15:49:02	21658/21658	---MCZ	200	added ('OK')	text/css	etag:W/%221f9e9d1a5a1d347d945ef4b7727f2ea0%22	https://netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	(from https://themewagon.github.io/perfectcut/)
15:49:03	3248/3248	---M-Z	200	added ('OK')	text/css	etag:W/%2268aea36e-cb0%22	https://themewagon.github.io/perfectcut/css/owl.carousel.min.css	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/css/owl.carousel.min.css	(from https://themewagon.github.io/perfectcut/)
15:49:03	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/perfectcut/css/owl.theme.default.min.css	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/css/owl.theme.default.min.css	(from https://themewagon.github.io/perfectcut/)
15:49:03	3885/3885	---M-Z	200	added ('OK')	text/css	etag:%225eb03e58-f2d%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/jquery.fancybox.min.css	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/jquery.fancybox.min.css	(from https://themewagon.github.io/perfectcut/)
15:49:04	43651/43651	---MCZ	200	added ('OK')	text/css	date:Sun,%2026%20Oct%202025%2019:05:15%20GMT	https://unpkg.com/gijgo@1.9.13/css/gijgo.min.css	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/unpkg.com/gijgo@1.9.13/css/gijgo.min.css	(from https://themewagon.github.io/perfectcut/)
15:49:04	25268/25268	---M-Z	200	added ('OK')	text/html	etag:W/%2268aea36e-62b4%22	https://themewagon.github.io/perfectcut/index.html	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/index-2.html	(from https://themewagon.github.io/perfectcut/)
15:49:05	2681/2681	---M--	200	added ('OK')	image/png	etag:%2268aea36e-a79%22	https://themewagon.github.io/perfectcut/images/logo.png	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/images/logo.png	(from https://themewagon.github.io/perfectcut/)
15:49:05	9902/9902	---M-Z	200	added ('OK')	text/html	etag:W/%2268aea36e-26ae%22	https://themewagon.github.io/perfectcut/about.html	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/about.html	(from https://themewagon.github.io/perfectcut/)
15:49:05	9909/9909	---M-Z	200	added ('OK')	text/html	etag:W/%2268aea36e-26b5%22	https://themewagon.github.io/perfectcut/gallery.html	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/gallery.html	(from https://themewagon.github.io/perfectcut/)
15:49:06	16056/16056	---M-Z	200	added ('OK')	text/html	etag:W/%2268aea36e-3eb8%22	https://themewagon.github.io/perfectcut/blog.html	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/blog.html	(from https://themewagon.github.io/perfectcut/)
15:49:06	9917/9917	---M-Z	200	added ('OK')	text/html	etag:W/%2268aea36e-26bd%22	https://themewagon.github.io/perfectcut/contact.html	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/contact.html	(from https://themewagon.github.io/perfectcut/)
15:49:07	517966/517966	---M--	200	added ('OK')	image/png	etag:%2268aea36e-7e74e%22	https://themewagon.github.io/perfectcut/images/img-2.png	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/images/img-2.png	(from https://themewagon.github.io/perfectcut/)
15:49:08	461997/461997	---M--	200	added ('OK')	image/png	etag:%2268aea36e-70cad%22	https://themewagon.github.io/perfectcut/images/img-3.png	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/images/img-3.png	(from https://themewagon.github.io/perfectcut/)
15:49:08	360874/360874	---M--	200	added ('OK')	image/png	etag:%2268aea36e-581aa%22	https://themewagon.github.io/perfectcut/images/img-4.png	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/images/img-4.png	(from https://themewagon.github.io/perfectcut/)
15:49:08	414319/414319	---M--	200	added ('OK')	image/png	etag:%2268aea36e-6526f%22	https://themewagon.github.io/perfectcut/images/img-5.png	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/images/img-5.png	(from https://themewagon.github.io/perfectcut/)
15:49:09	518640/518640	---M--	200	added ('OK')	image/png	etag:%2268aea36e-7e9f0%22	https://themewagon.github.io/perfectcut/images/img-6.png	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/images/img-6.png	(from https://themewagon.github.io/perfectcut/)
15:49:09	528861/528861	---M--	200	added ('OK')	image/png	etag:%2268aea36e-811dd%22	https://themewagon.github.io/perfectcut/images/img-7.png	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/images/img-7.png	(from https://themewagon.github.io/perfectcut/)
15:49:09	830866/830866	---M--	200	added ('OK')	image/png	etag:%2268aea36e-cad92%22	https://themewagon.github.io/perfectcut/images/blog-img.png	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/images/blog-img.png	(from https://themewagon.github.io/perfectcut/)
15:49:10	49370/49370	---M--	200	added ('OK')	image/png	etag:%2268aea36e-c0da%22	https://themewagon.github.io/perfectcut/images/client-img1.png	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/images/client-img1.png	(from https://themewagon.github.io/perfectcut/)
15:49:11	87088/87088	---M-Z	200	added ('OK')	application/javascript	etag:W/%2268aea36e-15430%22	https://themewagon.github.io/perfectcut/js/jquery.min.js	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/js/jquery.min.js	(from https://themewagon.github.io/perfectcut/)
15:49:11	19190/19190	---M-Z	200	added ('OK')	application/javascript	etag:W/%2268aea36e-4af6%22	https://themewagon.github.io/perfectcut/js/popper.min.js	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/js/popper.min.js	(from https://themewagon.github.io/perfectcut/)
15:49:11	1192545/1192545	---M--	200	added ('OK')	image/png	etag:%2268aea36e-123261%22	https://themewagon.github.io/perfectcut/images/about-img.png	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/images/about-img.png	(from https://themewagon.github.io/perfectcut/)
15:49:11	70808/70808	---M-Z	200	added ('OK')	application/javascript	etag:W/%2268aea36e-11498%22	https://themewagon.github.io/perfectcut/js/bootstrap.bundle.min.js	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/perfectcut/)
15:49:12	11324/11324	---M-Z	200	added ('OK')	application/javascript	etag:W/%2268aea36e-2c3c%22	https://themewagon.github.io/perfectcut/js/jquery-3.0.0.min.js	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/js/jquery-3.0.0.min.js	(from https://themewagon.github.io/perfectcut/)
15:49:13	918709/918709	---M-Z	200	added ('OK')	application/javascript	etag:W/%2268aea36e-e04b5%22	https://themewagon.github.io/perfectcut/js/plugin.js	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/js/plugin.js	(from https://themewagon.github.io/perfectcut/)
15:49:13	45479/45479	---M-Z	200	added ('OK')	application/javascript	etag:W/%2268aea36e-b1a7%22	https://themewagon.github.io/perfectcut/js/jquery.mCustomScrollbar.concat.min.js	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/js/jquery.mCustomScrollbar.concat.min.js	(from https://themewagon.github.io/perfectcut/)
15:49:13	9876/9876	---M-Z	200	added ('OK')	application/javascript	etag:W/%2268aea36e-2694%22	https://themewagon.github.io/perfectcut/js/custom.js	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/js/custom.js	(from https://themewagon.github.io/perfectcut/)
15:49:13	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/perfectcut/cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/jquery.fancybox.min.js	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/jquery.fancybox.min.js	(from https://themewagon.github.io/perfectcut/)
15:49:14	177487/177487	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2029%20Oct%202025%2005:10:09%20GMT	https://unpkg.com/gijgo@1.9.13/js/gijgo.min.js	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/unpkg.com/gijgo@1.9.13/js/gijgo.min.js	(from https://themewagon.github.io/perfectcut/)
15:49:14	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/perfectcut/fonts/BalooChettan-Regular.ttf	C:/Users/rafiq/OneDrive/Desktop/Clean/PerfectCut(women%20barber%20)/themewagon.github.io/perfectcut/fonts/BalooChettan-Regular.ttf	(from https://themewagon.github.io/perfectcut/css/style.css)
